Vacuum Wavelength (${\rm{\mathring{\rm A} }}$)	Line ID	CLOUDY ID	
9852.96	[C I] 9850	TOTL 9850.00A	
8729.53	[C I] 8727	C 1 8727.00A	
4622.864	[C I] 4621	C 1 4621.00A	
6097000.0	[C I] $610\,\mu {\rm{m}}$	C 1 609.200m	
3703700.0	[C I] $369\,\mu {\rm{m}}$	C 1 369.700m	
1576429.62	[C II] $157.7\,\mu {\rm{m}}$	C 2 157.600m	
2325.4	C II] 2326	C 2 2325.00A	
2324.21	C II] 2326	C 2 2324.00A	
2328.83	C II] 2326	C 2 2329.00A	
2327.64	C II] 2326	C 2 2328.00A	
2326.11	C II] 2326	C 2 2327.00A	
1908.73	C III]	C 3 1910.00A	
1906.68	[C III]	C 3 1907.00A	
5201.705	[N I] 5200	N 1 5200.00A	
6585.27	[N II] 6585	N 2 6584.00A	
6549.86	[N II] 6549	N 2 6548.00A	
5756.19	[N II] 5756	N 2 5755.00A	
1218000.0	[N II] $122\,\mu {\rm{m}}$	N 2 121.700m	
2053000.0	[N II] $205\,\mu {\rm{m}}$	N 2 205.400m	
2142.3	N II] 2141	N 2 2141.00A	
573300.0	[N III] $57\,\mu {\rm{m}}$	N 3 57.2100m	
6302.046	[O I] 6302	O 1 6300.00A	
6365.535	[O I] 6365	O 1 6363.00A	
5578.89	[O I] 5578	O 1 5577.00A	
631852.0	[O I] $63\,\mu {\rm{m}}$	O 1 63.1700m	
1455350.0	[O I] $145\,\mu {\rm{m}}$	O 1 145.530m	
3727.1	[O II] 3726	O II 3726.00A	
3729.86	[O II] 3729	O II 3729.00A	
7332.21	[O II] 7332	O II 7332.00A	
7321.94	[O II] 7323	O II 7323.00A	
2471.088	[O II] 2471	O II 2471.00A	
1661.241	O III] 1661	O 3 1661.00A	
1666.15	O III] 1666	O 3 1666.00A	
5008.24	[O III] 5007	O 3 5007.00A	
4960.295	[O III] 4960	O 3 4959.00A	
4364.435	[O III] 4364	TOTL 4363.00A	
2321.664	[O III] 2321	O 3 2321.00A	
883564.0	[O III] $88\,\mu {\rm{m}}$	O 3 88.3300m	
518145.0	[O III] $52\,\mu {\rm{m}}$	O 3 51.8000m	
128135.48	[Ne II] $12.8\,\mu {\rm{m}}$	Ne 2 12.8100m	
155551.0	[Ne III] $15.5\,\mu {\rm{m}}$	Ne 3 15.5500m	
360135.0	[Ne III] $36\,\mu {\rm{m}}$	Ne 3 36.0140m	
3869.86	[Ne III] 3870	Ne 3 3869.00A	
3968.59	[Ne III] 3968	Ne 3 3968.00A	
3343.5	[Ne III] 3343	Ne 3 3343.00A	
1812.205	[Ne III] 1815	Ne 3 1815.00A	
4725.47	[Ne IV] 4720	Ne 4 4720.00A	
2796.352	Mg II 2800	Mg 2 2795.53A	
2803.53	Mg II 2800	Mg 2 2802.71A	
348140.0	[Si II] $35\,\mu {\rm{m}}$	Si 2 34.8140m	
10323.32	[S II] 10331	S 2 1.03300m	
6732.673	[S II] 6732	S II 6731.00A	
6718.294	[S II] 6717	S II 6716.00A	
4069.75	[S II] 4070	S II 4070.00A	
4077.5	[S II] 4078	S II 4078.00A	
187130.0	[S III] $18.7\,\mu {\rm{m}}$	S 3 18.6700m	
334800.0	[S III] $33.5\,\mu {\rm{m}}$	S 3 33.4700m	
9533.2	[S III] 9533	S 3 9532.00A	
9071.1	[S III] 9071	S 3 9069.00A	
6313.81	[S III] 6314	S 3 6312.00A	
3722.75	[S III] 3723	S 3 3722.00A	
105105.0	[S IV] $10.5\,\mu {\rm{m}}$	S 4 10.5100m	
69852.74	[Ar II] $7\,\mu {\rm{m}}$	Ar 2 6.98000m	
7137.77	[Ar III] 7138	Ar 3 7135.00A	
7753.19	[Ar III] 7753	Ar 3 7751.00A	
5193.27	[Ar III] 5193	Ar 3 5192.00A	
3109.98	[Ar III] 3110	Ar 3 3109.00A	
218302.0	[Ar III] $22\,\mu {\rm{m}}$	Ar 3 21.8300m	
89913.8	[Ar III] $9\,\mu {\rm{m}}$	Ar 39.00000m	
7334.17	[Ar IV] 7330	Ar 4 7331.00A	
2669.951	[Al II] 2670	Al 2 2670.00A	
2661.146	[Al II] 2660	Al 2 2660.00A	
1854.716	[Al III] 1855	Al 3 1855.00A	
1862.7895	[Al III] 1863	Al 3 1863.00A	
143678.0	[Cl II] $14.4\,\mu {\rm{m}}$	Cl 2 14.4000m	
8581.06	[Cl II] 8579	Cl 2 8579.00A	
9126.1	[Cl II] 9124	Cl 2 9124.00A	
5539.411	[Cl III] 5538	Cl 3 5538.00A	
5519.242	[Cl III] 5518	Cl 3 5518.00A	
606420.0	[P II] $60\,\mu {\rm{m}}$	P 2 60.6400m	
328709.0	[P II] $32\,\mu {\rm{m}}$	P 2 32.8700m	
12570.21	[Fe II] $1.26\,\mu {\rm{m}}$	Fe 2 1.25668m	
